Repository Name,Repository_ID
University of Malta,malta.figshare
association QualiREL Santé,citg.qualirel
Ecole Normale Supérieure du Burundi,ens.prod
Association Française de Zootechnie,inist.afz
Swinburne University of Technology,swin.repo2
La Trobe University,latrobe.repo
TERN IGSN ID Catalogue,tern.igsn
Monash University,monash.repo
The Australian National University,anu.repo
Macquarie University,ardcx.mqu
University of Tasmania,ardcx.utas
University of New South Wales,unsw.repo
Atlas of Living Australia,ala.repo
PARADISEC,pdsc.repo
Griffith University Research Data Repository,ardcx.griffith
The University of Western Australia,uniwa.repo
Central Queensland University,ardcx.cqu
Adelaide University,adelaide.repo
Curtin University Research Data Collection,ardcx.curtin
James Cook University,jcu.repo
Australian Antarctic Division,aad.repo
University of Sydney Library,ardcx.usyd
Australian Data Archive,ada.repo
Australian Policy Online,smf.repo
University of Canberra Research Portal,ardcx.uc
Charles Darwin University,cdu.repo
Torrens University,ardcx.torrens
Australian Catholic University,ardcx.acu
New South Wales Department of Primary Industries,nswdpi.repo
University of Southern Queensland research data collection,ardcx.usq
Edith Cowan University,ardcx.ecu
Western Sydney University ResearchDirect,ardcx.wsu
University of the Sunshine Coast,ardcx.usc
National Computational Infrastructure,ardcx.nci
TERN Central Portal,ardcx.tern
University of South Australia,ardcx.unisa
The University of Queensland,uq.repo
Deakin University,ardcx.deakin
"Department of Agriculture, Fisheries and Forestry - ABARES",ardcx.abares
University of New England,ardcx.une
Southern Cross University,ardcx.scu
Queensland University of Technology,ardcx.qut1
Australian Institute of Health and Welfare,ardcx.aihw
Griffith University Figshare,griffith.figshare
Flinders University Library Research Data,ardcx.flinders
Federation University Australia,ardcx.federation
Australian Ocean Data Network,ardcx.aodn
UTS Figshare,uts.repo
Bond University,ardcx.bond
Victoria University,ardcx.vu
"Department of Biodiversity, Conservation and Attractions",dbca.repo
"NSW Department of Planning, Industry and Environment",ardcx.oeh
Pawsey Supercomputing Centre,pawsey.repo
Charles Sturt University,ardcx.csu
University of Newcastle,ardcx.uon
HMInfo,ardcx.hminfo
