Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
nkn.nkn,University of Idaho | Research Computing and Data Services (nkn.nkn),0.41,0.64,0.16,0.10,0.34
purdue.purduelib,Purdue University Research Repository (purdue.purduelib),0.26,0.45,0.24,0.36,0.30
osu.osu,Oregon State University (osu.osu),0.40,0.54,0.16,0.12,0.30
dryad.dryad,DRYAD (dryad.dryad),0.30,0.59,0.18,0.01,0.30
epua.zfkd,Centre for Cancer Registry Data (ZfKD) at the Robert Koch Institute (epua.zfkd),0.27,0.64,0.06,0.30,0.30
delft.isric,ISRIC - World Soil Information (delft.isric),0.30,0.57,0.10,0.23,0.27
figshare.ncl,Newcastle University (figshare.ncl),0.40,0.37,0.12,0.10,0.26
ethz.sed,"Swiss Seismological Service, national earthquake monitoring and hazard center (ethz.sed)",0.26,0.44,0.14,0.40,0.25
gdcc.jhu,Johns Hopkins Research Data Repository (gdcc.jhu),0.28,0.27,0.33,0.10,0.25
ardcx.uts,"University of Technology, Sydney (ardcx.uts)",0.27,0.55,0.15,0.10,0.25
bl.brookes,Oxford Brookes University (bl.brookes),0.29,0.41,0.15,0.06,0.25
ada.repo,Australian Data Archive (ada.repo),0.26,0.21,0.35,0.09,0.24
gdcc.consorcio,e-cienciaDatos (gdcc.consorcio),0.25,0.36,0.29,0.08,0.23
delft.maastro,MAASTRO Clinic (delft.maastro),0.30,0.36,0.11,0.10,0.23
usda.usda,Ag Data Commons (usda.usda),0.43,0.24,0.16,0.10,0.23
tib.gfzbib,GFZpublic (tib.gfzbib),0.24,0.51,0.07,0.08,0.22
ardcx.flinders,Flinders University Library Research Data (ardcx.flinders),0.19,0.46,0.12,0.04,0.22
cul.grg,United States Antarctic Program Data Center (USAP-DC) (cul.grg),0.45,0.22,0.11,0.10,0.22
gdcc.syr-qdr,Syracuse University Qualitative Data Repository (gdcc.syr-qdr),0.31,0.34,0.21,0.00,0.22
bl.kcl,King's College London (bl.kcl),0.30,0.36,0.13,0.09,0.21
sfu.summit,"Summit, the SFU Research Repository (sfu.summit)",0.33,0.33,0.11,0.10,0.21
ardcx.curtin,Curtin University Research Data Collection (ardcx.curtin),0.25,0.39,0.09,0.11,0.21
tib.iow,Leibniz-Institut fuer Ostseeforschung Warnemuende (tib.iow),0.22,0.49,0.08,0.13,0.21
dk.dtic,DTIC Datacenter (dk.dtic),0.30,0.32,0.14,0.10,0.21
ethz.wgms,World Glacier Monitoring Service (ethz.wgms),0.22,0.53,0.11,0.05,0.20
snd.ddb,Demographic Data Base (snd.ddb),0.17,0.28,0.11,0.30,0.20
mdw.repository,mdwRepository (mdw.repository),0.17,0.55,0.10,0.09,0.20
tdl.tdl,Texas Digital Library (tdl.tdl),0.29,0.15,0.24,0.10,0.20
mtakik.mtakik,Magyar Tudományos Akadémia Könyvtár és Információs Központ (mtakik.mtakik),0.09,0.39,0.22,0.10,0.20
cdu.repo,Charles Darwin University (cdu.repo),0.17,0.49,0.03,0.02,0.19
dk.ices,International Council for the Exploration of the Sea (ICES) (dk.ices),0.31,0.20,0.12,0.10,0.19
ardcx.csu,Charles Sturt University (ardcx.csu),0.16,0.28,0.14,0.18,0.19
tib.fdmuh,Universität Hamburg (tib.fdmuh),0.26,0.36,0.10,0.10,0.19
uml.richter,"Richter Library, University of Miami (uml.richter)",0.17,0.39,0.09,0.10,0.19
ocul.spdv,Borealis (ocul.spdv),0.26,0.17,0.27,0.10,0.19
cdl.cdl,California Digital Library (cdl.cdl),0.24,0.38,0.22,0.10,0.19
gdcc.odum-dv,UNC Dataverse (gdcc.odum-dv),0.25,0.16,0.22,0.10,0.18
vt.vtechdata,Virginia Tech Data Repository (vt.vtechdata),0.26,0.31,0.10,0.10,0.18
bl.marineie,Marine Institute (bl.marineie),0.34,0.17,0.16,0.15,0.18
crui.ingv,Istituto Nazionale di Geofisica e Vulcanologia (INGV) (crui.ingv),0.34,0.28,0.10,0.12,0.18
bibsys.nibio,The Norwegian Institute of Bioeconomy Research (bibsys.nibio),0.27,0.22,0.19,0.10,0.18
bl.ucld,University College London (bl.ucld),0.23,0.29,0.07,0.10,0.18
delft.bira,Royal Belgian Institute for Space Aeronomy (delft.bira),0.18,0.16,0.24,0.10,0.18
duqf.dztpij,Energy Data Centre (duqf.dztpij),0.23,0.44,0.06,0.00,0.18
tib.hu-mr,HU Berlin - Media Repository (tib.hu-mr),0.27,0.15,0.17,0.10,0.18
bl.dundee,Discovery (bl.dundee),0.25,0.45,0.13,0.07,0.17
snd.bils,SciLifeLab Data Repository (snd.bils),0.33,0.24,0.08,0.10,0.17
ardcx.scu,Southern Cross University (ardcx.scu),0.25,0.19,0.15,0.09,0.17
datacite.datacite,DataCite (datacite.datacite),0.33,0.39,0.13,0.09,0.17
tib.g-node,German Neuroinformatics Node (tib.g-node),0.20,0.20,0.13,0.10,0.16
bl.lse,London School of Economics (bl.lse),0.29,0.28,0.22,0.02,0.16
gesis.aussda,AUSSDA - The Austrian Social Science Data Archive (gesis.aussda),0.28,0.18,0.17,0.02,0.16
gdcc.harvard-dv,Harvard Dataverse (gdcc.harvard-dv),0.28,0.11,0.23,0.10,0.16
subgoe.trier,Universitätsbibliothek Trier (subgoe.trier),0.10,0.42,0.11,0.10,0.16
crui.ogsts,National Institute of Oceanography and Applied Geophysics (crui.ogsts),0.34,0.22,0.14,0.09,0.16
ardcx.cqu,Central Queensland University (ardcx.cqu),0.22,0.19,0.14,0.10,0.16
inist.shom,Service hydrographique et océanographique de la marine (inist.shom),0.09,0.46,0.01,0.02,0.16
inist.ipgp,Centre de données de l'Institut de Physique du Globe de Paris (inist.ipgp),0.20,0.29,0.17,0.10,0.16
tib.kit-ioc,chemotion (tib.kit-ioc),0.09,0.39,0.05,0.09,0.16
mtakik.mtatk,Kutatási Dokumentációs Központ (mtakik.mtatk),0.24,0.31,0.02,0.03,0.16
ardcx.deakin,Deakin University (ardcx.deakin),0.26,0.28,0.11,0.10,0.16
spbpu.mpm,Materials Physics and Mechanics (spbpu.mpm),0.49,0.16,0.00,0.00,0.16
adelaide.repo,Adelaide University (adelaide.repo),0.26,0.21,0.09,0.08,0.16
cngb.gigadb,GigaDB (cngb.gigadb),0.13,0.31,0.13,0.00,0.16
nies.nies,Repository for National Institute for Environment Studies (nies.nies),0.15,0.40,0.00,0.08,0.16
crui.liuc,Università Carlo Cattaneo - LIUC (crui.liuc),0.18,0.39,0.11,0.01,0.16
tib.zalf,Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V. (tib.zalf),0.32,0.24,0.08,0.06,0.15
gesis.viadrina,Europa-Universität Viadrina (gesis.viadrina),0.20,0.18,0.17,0.10,0.15
tib.eugraph,Eurographics (tib.eugraph),0.21,0.26,0.09,0.10,0.15
ardcx.federation,Federation University Australia (ardcx.federation),0.13,0.28,0.09,0.10,0.15
dk.aau,Aalborg University Library (dk.aau),0.16,0.24,0.17,0.15,0.15
dkrz.wdcc,World Data Center for Climate (dkrz.wdcc),0.14,0.22,0.10,0.35,0.15
ghsl.galter,"Galter Health Sciences Library, Northwestern University (ghsl.galter)",0.21,0.20,0.15,0.09,0.15
bmlm.bgc,Max Planck Institute for Biogeochemistry (bmlm.bgc),0.07,0.41,0.08,0.07,0.14
uky.lib,UKnowledge (uky.lib),0.21,0.35,0.11,0.03,0.14
memo.journal,MEMO - Medieval and Early Modern Material Culture Online (memo.journal),0.13,0.27,0.06,0.10,0.14
cern.cds,CERN Document Server (cern.cds),0.11,0.30,0.05,0.09,0.14
datacite.blog,DataCite Blog (datacite.blog),0.16,0.37,0.11,0.10,0.14
crui.unibo,Università degli Studi di Bologna (crui.unibo),0.22,0.11,0.14,0.19,0.14
bl.repo,British Library Research Repository (bl.repo),0.17,0.25,0.07,0.10,0.14
subgoe.zzf,Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V. (subgoe.zzf),0.26,0.11,0.15,0.10,0.14
gesis.wzb,Wissenschaftszentrum Berlin für Sozialforschung (gesis.wzb),0.31,0.17,0.05,0.00,0.14
wyoming.rep1,WyoScholar (wyoming.rep1),0.25,0.06,0.20,0.08,0.14
tind.uchicago,University of Chicago (tind.uchicago),0.26,0.10,0.16,0.00,0.14
